c_gene:0,mean_phi_A,median_phi_A,std_phi_A,mean_delta_RS,n
IGLC3,-0.16590848505076655,-0.13329990662440827,0.9804120043397976,1.5954109180600708,9
IGHG1,0.04068418242228338,-0.02183751932233055,1.094409547347346,1.6397833070980583,12
IGHD,0.19285550500778428,0.2717276959164277,0.9327308968024494,1.2406755246079182,30
IGHA2,0.258771222046625,0.2717276959164277,0.9275613753184887,1.1260831331429753,363619
IGHE,0.2713999230691553,0.22300002082450082,0.9854524057662806,1.1099178335908366,696
IGLC7,0.2717276959164277,0.2717276959164277,,0.7610617453643448,1
,0.2728389497621,0.2717276959164277,1.1544299601822474,1.1832152693204165,45454
IGHG2,0.27558815010604526,0.30804674017099487,0.8966359381989212,1.1035636883972608,222731
IGHA1,0.27640488768522553,0.37694241891061303,0.978005475991602,1.1589161173528069,205
IGHM,0.27968714087097285,0.2717276959164277,1.1299039653749148,1.1667484710791576,807553
IGHG4,0.28768885780232345,0.2717276959164277,0.8996310878292105,1.0609601025078326,20164
IGHG3,0.5202569115147915,0.30804674017099487,1.799384889042384,1.1978636701479788,71
IGKC,0.8276945476392162,0.8097873287703594,0.9089576137069342,0.621533758714215,5
